无,无,无
山东大学特长奖二等（创业实践类）2019,山东大学,2019.09
山东大学特长奖二等（美育素养类）2019,山东大学,2019.09
山东大学特长奖二等（社会服务类）2019,山东大学,2019.09
山东大学特长奖二等（体育素养类）2019,山东大学,2019.09
山东大学特长奖二等（研究创新类）2019,山东大学,2019.09
山东大学特长奖一等（创业实践类）2019,山东大学,2019.09
山东大学特长奖一等（美育素养类）2019,山东大学,2019.09
山东大学特长奖一等（社会服务类）2019,山东大学,2019.09
山东大学特长奖一等（体育素养类）2019,山东大学,2019.09
山东大学特长奖一等（研究创新类）2019,山东大学,2019.09
山东大学学业奖二等2019,山东大学,2019.09
山东大学学业奖三等2019,山东大学,2019.09
山东大学学业奖一等2019,山东大学,2019.09
山东大学优秀学生干部2019,山东大学,2019.09
山东大学（威海）百优大学生,山东大学（威海）,2019.12
山东大学特长奖二等（创业实践类）,山东大学,2020.09
山东大学特长奖二等（美育素养类）,山东大学,2020.09
山东大学特长奖二等（社会服务类）,山东大学,2020.09
山东大学特长奖二等（体育素养类）,山东大学,2020.09
山东大学特长奖二等（研究创新类）,山东大学,2020.09
山东大学特长奖一等（创业实践类）,山东大学,2020.09
山东大学特长奖一等（美育素养类）,山东大学,2020.09
山东大学特长奖一等（社会服务类）,山东大学,2020.09
山东大学特长奖一等（体育素养类）,山东大学,2020.09
山东大学特长奖一等（研究创新类）,山东大学,2020.09
山东省高等学校优秀学生,山东省教育厅,2020.04
山东省高等学校优秀学生干部,山东省教育厅,2020.04
山东大学十佳共青团员,共青团山东大学委员会,2020.04
山东省暑期社会实践优秀学生,中国共产党山东省委员会宣传部,2020.04
山东大学社会工作先进个人,共青团山东大学委员会,2020.05
山东大学学生创新创业活动先进个人,共青团山东大学委员会,2020.05
山东大学学生社团活动先进个人,共青团山东大学委员会,2020.05
山东大学学生校园文体活动先进个人,共青团山东大学委员会,2020.05
山东大学优秀共青团员,共青团山东大学委员会,2020.05
山东大学志愿服务工作先进个人,共青团山东大学委员会,2020.05
山东大学学业奖二等,山东大学,2020.09
山东大学学业奖三等,山东大学,2020.09
山东大学学业奖一等,山东大学,2020.09
山东大学优秀学生干部,山东大学,2020.09
本科生科研训练计划项目二等奖,共青团山东大学（威海）工作委员会,2020.09
本科生科研训练计划项目三等奖,共青团山东大学（威海）工作委员会,2020.09
本科生科研训练计划项目一等奖,共青团山东大学（威海）工作委员会,2020.09
